id,title,description,outils,lien
1,Blog : Site web,"Site web de blogging professionnel. Optimisé pour la création et la publication d'articles avec une option d'abonnement gratuit au e-mail news letters. Le site intégre aussi les recherche d'article, la publication de commentaires...","[""python"", ""django"", ""HTML"", ""CSS"", ""JavaScript""]",#blog
2,Trombinoscoop : réseau sociale,"Ce site web est un réseau social sécurisé. Il a été conçu pour faciliter la création de comptes utilisateurs et l'envoi de messages texte, d'images, de vidéos et de fichiers (PDF, Word, Excel).","[""python"", ""Django"", ""Ajax"", ""HTML"", ""CSS"", ""JavaScript""]",#tromb
3,Jeux 2D : Space Blaster,"Ce jeu 2D a été développé avec le framework Pygame, qui est un outil de programmation open source basé sur le langage Python. Il inclut une progression par niveau, un menu interactif, etc.","[""python"", ""pygame""]",https://github.com/John-Lion01/Space-Blaster
4,E-commerce : Site web,"Ce site web professionnel de vente en ligne nous permet de  mettre en avant divers produits, qu'ils soient physiques ou numériques. Il  inclut : un panier, la commande, la livraison et le SEO optimisé, la gestion de Stock ainsi qu'un Chatbot.","[""Python"", ""Django"", ""HTML"", ""CSS"", ""JavaScript""]",#ecommerce
5,Portfolio : Site web,"Ce portfolio numérique est un site web personnel que j'ai développé spécifiquement avec des technologies telles que FastApi, HTML, CSS et JavaScript.","[""Python"", ""FastApi"", ""HMTL"", ""CSS"", ""JavaScript""]",/
6,Gestionnaire de Bibliotèques,"Application Desktop, réalisé avec Tkinter de Python. Optimisé pour l'enregistrement de livres, de lecteurs et la gestion des livres, des emprunts.","[""Python"", ""Tkinter""]",https://github.com/John-Lion01/Biblio
